"","participant","trial","condition_nums","time_through_maze","max_force","path_length","haptic","visual","map","average_velocity","average_proximity","average_force"
"487","44","P44_3","4",25.87,1.18317354991338,18.7226758807766,"0","0",10,0.723515152693826,0.722345869239255,0.508418891442377
"488","44","P44_30","3",19.88,2.06542685427105,18.7323496457241,"0","1",9,0.94185242799274,0.905260551237414,1.02341941179769
"489","44","P44_31","2",0.730000000000004,0.352682794859671,0.498838088291654,"1","0",9,0.674770024177465,0.735643634055247,1.7056383588589
"490","44","P44_32","1",20.32,2.5121154693051,19.4006122343064,"1","1",9,0.953942874558041,0.84097840329462,1.24612458516934
"491","44","P44_4","1",27.47,2.20268119729446,18.2976327926921,"1","1",10,0.66596841870033,0.684671911302181,1.30511285904238
"492","44","P44_5","1",24.5,2.41792099789951,24.2752992976779,"1","1",11,0.989586270717348,0.843510242042298,1.21363015060075
"493","44","P44_6","3",21.11,2.56315232659175,23.7797117712792,"0","1",11,1.12593929285665,0.932190634731455,1.40443726309566
"494","44","P44_8","4",47.36,1.1780818786876,26.0430609783105,"0","0",11,0.549822058106705,0.807702024850348,0.24140255911494
"495","44","P44_9","1",24.98,2.11984510954715,28.4899017647964,"1","1",3,1.140072917127,0.880077800265402,1.3516399576916
"496","46","P46_1","1",38.9,0.703031679550755,18.4010244758112,"1","1",10,0.472918237527143,0.817775743587255,0.174703453219921
"497","46","P46_10","2",242.4,2.45745269395962,38.107356416164,"1","0",3,0.173088045733596,0.646919040066217,0.339685543975005
"498","46","P46_11","4",92.8,0.39962921239894,29.7002356093969,"0","0",3,0.320015290399298,0.84974020978562,0.0514113541352053
"499","46","P46_12","3",43.43,0.818046121164919,27.9939794551431,"0","1",3,0.644388296233611,0.837737921711706,0.289756712906328
"500","46","P46_13","1",51.18,2.82842712474619,20.5435053028518,"1","1",5,0.499116330216271,0.667331774964626,0.71577914935554
"501","46","P46_14","3",23.75,1.22525661758872,19.7724266520373,"0","1",5,0.83215236366219,0.915498576029385,0.593995354630903
"502","46","P46_15","4",82.29,0.408361324757609,21.316304879824,"0","0",5,0.259010747122394,0.79400460290777,0.027260745238712
"503","46","P46_16","2",185.86,2.82842712474619,40.2893078050395,"1","0",5,0.268896267271154,0.637558579991613,0.38949715088899
"504","46","P46_17","2",86.84,2.00024752824779,21.2148972277751,"1","0",6,0.327400015435998,0.674201158877708,0.28141008268367
"505","46","P46_18","4",57.84,0.534275929538763,19.9831872802898,"0","0",6,0.345417962133295,0.913109070585054,0.0705573579156103
"506","46","P46_19","3",26.5,1.65495518432819,19.5507819524734,"0","1",6,0.737461501126538,0.844409367246774,0.461745199146161
"507","46","P46_2","4",99.58,0.272252737735605,19.4837009267719,"0","0",10,0.194062928380946,0.849285476655403,0.0299471631502187
"508","46","P46_20","1",32.74,0.810689798481446,19.7000328780021,"1","1",6,0.601544539263388,0.898148955765804,0.261619140197229
"509","46","P46_21","4",74.76,0.738873844128633,22.2833313681242,"0","0",7,0.298019916012089,0.767321167866829,0.0740869699703477
"510","46","P46_22","3",20.35,1.72506166354677,17.5314873747556,"0","1",7,0.861099193013842,0.776452978063427,0.699893939372273
"511","46","P46_23","2",0.0999999999999943,2.82842712474619,0.549949671160781,"1","0",7,5,0.803970590829728,2.27307142866877
"512","46","P46_24","1",22.95,1.34694897765091,18.2853758193377,"1","1",7,0.796429632311881,0.859787545372042,0.42499880046621
"513","46","P46_25","2",152.98,2.55689895068434,30.7800188289966,"1","0",8,0.228370253135753,0.613059521271066,0.433973096954384
"514","46","P46_26","4",73.9,0.631727509579584,20.3233457754031,"0","0",8,0.273393382044069,0.799989884679979,0.0581975970351313
"515","46","P46_27","3",19.25,2.61448099693407,18.4398892922461,"0","1",8,0.957490719978607,0.872237097614812,0.915828861707529
"516","46","P46_28","1",28.12,1.02845019374097,17.0713862059179,"1","1",8,0.606884205181869,0.862369158191859,0.255982395128341
"517","46","P46_29","3",29.83,0.890753809640862,18.2720247706602,"0","1",9,0.612332166642546,0.889440156851111,0.365830191865196
"518","46","P46_3","2",77.63,2.00557952427656,23.5335212503073,"1","0",10,0.342506120932381,0.717129747660617,0.192544387038085
"519","46","P46_30","2",115.06,2.07595216910089,26.4074643870269,"1","0",9,0.225115899901889,0.695827815617313,0.391343595948189
"520","46","P46_31","4",52.77,0.566174533912642,18.4251149861324,"0","0",9,0.349090160883138,0.782658900925592,0.0680880841095983
"521","46","P46_32","1",64.85,2.19229237982132,18.6188427471808,"1","1",9,0.340742729105341,0.607138659162078,0.539695970226839
"522","46","P46_4","3",17.24,2.47712896082049,17.7540014013743,"0","1",10,1.02918792627746,0.827526779030797,0.958447055032094
"523","46","P46_5","4",117.09,0.375696352042702,26.3867238445678,"0","0",11,0.225332696702003,0.798563548082562,0.0375351659227203
"524","46","P46_6","3",37.49,1.16002279556226,22.2143563447775,"0","1",11,0.592327176701665,0.812380222597708,0.330189906467342
